"filename", "language", "YAML", "Dart", "SVG", "C++", "Markdown", "comment", "blank", "total"
"d:\Programs\status_display\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 7, 17
"d:\Programs\status_display\analysis_options.yaml", "YAML", 8, 0, 0, 0, 0, 22, 5, 35
"d:\Programs\status_display\assets\hexagon.svg", "SVG", 0, 0, 109, 0, 0, 0, 1, 110
"d:\Programs\status_display\assets\hexagonOptimized.svg", "SVG", 0, 0, 12, 0, 0, 0, 1, 13
"d:\Programs\status_display\assets\iso.svg", "SVG", 0, 0, 104, 0, 0, 0, 1, 105
"d:\Programs\status_display\assets\isoOptimized.svg", "SVG", 0, 0, 11, 0, 0, 0, 1, 12
"d:\Programs\status_display\assets\nineSegment.svg", "SVG", 0, 0, 122, 0, 0, 0, 1, 123
"d:\Programs\status_display\assets\nineSegmentOptimized.svg", "SVG", 0, 0, 15, 0, 0, 0, 1, 16
"d:\Programs\status_display\devtools_options.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Programs\status_display\lib\data\app_state.dart", "Dart", 0, 177, 0, 0, 0, 0, 5, 182
"d:\Programs\status_display\lib\data\cancoder_data.dart", "Dart", 0, 179, 0, 0, 0, 0, 13, 192
"d:\Programs\status_display\lib\data\command_data.dart", "Dart", 0, 265, 0, 0, 0, 0, 29, 294
"d:\Programs\status_display\lib\data\controller_data.dart", "Dart", 0, 47, 0, 0, 0, 0, 6, 53
"d:\Programs\status_display\lib\data\fusion_tof_data.dart", "Dart", 0, 91, 0, 0, 0, 0, 11, 102
"d:\Programs\status_display\lib\data\hardware_data.dart", "Dart", 0, 49, 0, 0, 0, 0, 9, 58
"d:\Programs\status_display\lib\data\limelight_data.dart", "Dart", 0, 91, 0, 0, 0, 0, 6, 97
"d:\Programs\status_display\lib\data\navx_data.dart", "Dart", 0, 81, 0, 0, 0, 0, 6, 87
"d:\Programs\status_display\lib\data\robot_data.dart", "Dart", 0, 121, 0, 0, 0, 0, 16, 137
"d:\Programs\status_display\lib\data\sparkmax_data.dart", "Dart", 0, 359, 0, 0, 0, 0, 13, 372
"d:\Programs\status_display\lib\data\status.dart", "Dart", 0, 24, 0, 0, 0, 0, 9, 33
"d:\Programs\status_display\lib\data\subsystem_data.dart", "Dart", 0, 331, 0, 0, 0, 0, 49, 380
"d:\Programs\status_display\lib\data\talonfx_data.dart", "Dart", 0, 413, 0, 0, 0, 0, 10, 423
"d:\Programs\status_display\lib\data\theme_data.dart", "Dart", 0, 21, 0, 0, 0, 1, 2, 24
"d:\Programs\status_display\lib\extra_info.dart", "Dart", 0, 153, 0, 0, 0, 0, 4, 157
"d:\Programs\status_display\lib\home.dart", "Dart", 0, 75, 0, 0, 0, 0, 4, 79
"d:\Programs\status_display\lib\inspector.dart", "Dart", 0, 53, 0, 0, 0, 0, 8, 61
"d:\Programs\status_display\lib\iso_display.dart", "Dart", 0, 21, 0, 0, 0, 0, 5, 26
"d:\Programs\status_display\lib\main.dart", "Dart", 0, 25, 0, 0, 0, 0, 6, 31
"d:\Programs\status_display\lib\subsystems_display.dart", "Dart", 0, 145, 0, 0, 0, 0, 16, 161
"d:\Programs\status_display\lib\utils\formating.dart", "Dart", 0, 13, 0, 0, 0, 0, 3, 16
"d:\Programs\status_display\lib\widgets\autogrid.dart", "Dart", 0, 31, 0, 0, 0, 1, 6, 38
"d:\Programs\status_display\lib\widgets\fading_scroll.dart", "Dart", 0, 67, 0, 0, 0, 0, 7, 74
"d:\Programs\status_display\lib\widgets\inspectable.dart", "Dart", 0, 30, 0, 0, 0, 1, 6, 37
"d:\Programs\status_display\lib\widgets\inspector_widgets.dart", "Dart", 0, 117, 0, 0, 0, 0, 12, 129
"d:\Programs\status_display\lib\widgets\status_indicator.dart", "Dart", 0, 114, 0, 0, 0, 0, 8, 122
"d:\Programs\status_display\lib\widgets\svg.dart", "Dart", 0, 211, 0, 0, 0, 75, 70, 356
"d:\Programs\status_display\pubspec.yaml", "YAML", 24, 0, 0, 0, 0, 55, 14, 93
"d:\Programs\status_display\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 9, 0, 4, 5, 18
"d:\Programs\status_display\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 5, 6, 16
"d:\Programs\status_display\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 7, 16, 72
"d:\Programs\status_display\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 5, 9, 34
"d:\Programs\status_display\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 4, 10, 44
"d:\Programs\status_display\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 6, 2, 17
"d:\Programs\status_display\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 2, 10, 66
"d:\Programs\status_display\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 6, 6, 20
"d:\Programs\status_display\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 24, 55, 289
"d:\Programs\status_display\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 31, 24, 103
"Total", "-", 36, 3304, 373, 442, 10, 249, 514, 4928
